"Consensus.lineage"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Taxonomy"	"Kingdom_r"	"Phylum_r"	"Class_r"	"Order_r"	"Family_r"	"Genus_r"	"Taxonomy_r"
"66"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 11;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 11"	"Subgroup 11CL"	"Subgroup 11CL"	"Subgroup 11CL"	"Acidobacteriota"	-0.46	-0.5	-0.69	-0.69	-0.69	-0.69	-0.5
"67"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 18;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 18"	"Subgroup 18CL"	"Subgroup 18CL"	"Subgroup 18CL"	"Acidobacteriota"	-0.46	-0.5	-0.31	-0.31	-0.31	-0.31	-0.5
"68"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 21;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 21"	"Subgroup 21CL"	"Subgroup 21CL"	"Subgroup 21CL"	"Acidobacteriota"	-0.46	-0.5	0.51	0.51	0.51	0.51	-0.5
"69"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 22;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 22"	"Subgroup 22CL"	"Subgroup 22CL"	"Subgroup 22CL"	"Acidobacteriota"	-0.46	-0.5	-0.61	-0.61	-0.61	-0.61	-0.5
"70"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 25;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 25"	"Subgroup 25CL"	"Subgroup 25CL"	"Subgroup 25CL"	"Acidobacteriota"	-0.46	-0.5	-0.12	-0.12	-0.12	-0.12	-0.5
"71"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 26;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 26"	"Subgroup 26CL"	"Subgroup 26CL"	"Subgroup 26CL"	"Acidobacteriota"	-0.46	-0.5	-0.23	-0.23	-0.23	-0.23	-0.5
"72"	"k__Bacteria;p__Acidobacteriota;c__Subgroup 5;o__;f__;g__"	"Bacteria"	"Acidobacteriota"	"Subgroup 5"	"Subgroup 5CL"	"Subgroup 5CL"	"Subgroup 5CL"	"Acidobacteriota"	-0.46	-0.5	-0.4	-0.4	-0.4	-0.4	-0.5
"73"	"k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup 10"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup 10"	"Acidobacteriota"	-0.46	-0.5	-0.11	-0.11	-0.11	0.08	-0.5
"74"	"k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup 23"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Subgroup 23"	"Acidobacteriota"	-0.46	-0.5	-0.11	-0.11	-0.11	-0.22	-0.5
"75"	"k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Thermoanaerobaculum"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"Thermoanaerobaculum"	"Acidobacteriota"	-0.46	-0.5	-0.11	-0.11	-0.11	-0.36	-0.5
"76"	"k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__TPD-58"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"Thermoanaerobaculales"	"Thermoanaerobaculaceae"	"TPD-58"	"Acidobacteriota"	-0.46	-0.5	-0.11	-0.11	-0.11	0.11	-0.5
"77"	"k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup 17;f__;g__"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup 17"	"Subgroup 17OR"	"Subgroup 17OR"	"Acidobacteriota"	-0.46	-0.5	-0.35	-0.68	-0.68	-0.68	-0.5
"78"	"k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup 9;f__;g__"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup 9"	"Subgroup 9OR"	"Subgroup 9OR"	"Acidobacteriota"	-0.46	-0.5	-0.35	-0.46	-0.46	-0.46	-0.5
