"Sample"	"P01015"	"RecA"	"RpoB"	"amoA-AOA"	"amoA-AOB"	"AmoA-Ic"	"emoA"	"MOB-Ia"	"MOB-Ib"	"MOB-Ic"	"MOB-IIa"	"MOB-IIb"	"MOB-III"	"pxmA"	"p-amo-unk"	"NOB-nxr"	"NxrA-other"	"NxrB-other"	"HydA"	"DsrAB-red"	"DsrAB-ox"	"Dsr-AsrC"	"Dsr-2221"	"DsrA-ox"	"DsrA-red"	"DsrB-ox"	"DsrB-red"	"Dsr-no3so3"	"Dsr-unk"	"mcr-Ac"	"mcr-Ac-unk"	"mcr-H2"	"mcr-H2-unk"	"mcr-unk"
"1048136"	38	1179	263	0	1	0	3	1	0	0	0	0	0	1	0	8	185	393	686	1832	541	63	796	286	974	255	858	644	399	0	0	0	0	1
"1048139"	15	866	200	0	1	0	2	2	0	0	0	0	0	1	4	4	163	274	518	1126	290	59	457	170	563	120	563	332	274	0	0	1	0	0
"1048145"	38	1005	259	44	15	0	2	5	2	0	1	0	2	7	5	19	216	467	376	559	435	53	562	225	269	210	290	340	258	0	0	1	0	0
"1048148"	43	1224	252	62	12	1	3	0	0	0	0	0	0	0	7	24	188	383	593	911	476	65	651	246	447	230	464	428	303	NA	NA	NA	NA	NA
"1048151"	24	1084	218	46	11	1	3	3	1	0	0	0	0	1	7	21	156	382	509	958	396	70	558	203	476	193	482	442	272	0	0	1	0	0
"1048154"	43	1006	265	24	2	0	2	12	1	0	3	0	0	10	4	19	251	464	696	1559	627	106	854	292	788	335	771	661	455	6	0	4	0	0
"1048157"	22	957	213	12	6	0	4	5	0	0	1	0	1	4	5	14	196	353	553	1306	309	73	533	147	659	162	647	407	267	NA	NA	NA	NA	NA
"1048160"	42	1135	203	21	6	1	3	11	3	0	0	0	0	9	7	20	184	359	564	1151	390	65	611	212	584	178	567	456	368	2	0	1	0	0
"1072532"	27	1164	1	48	5	0	2	3	2	0	0	0	1	5	21	52	1	283	32	32	82	29	90	46	18	36	14	72	52	1	0	0	0	0
"1072533"	21	1429	2	49	9	1	3	2	2	0	2	0	0	2	19	65	0	297	64	30	103	26	112	49	14	54	16	54	17	NA	NA	NA	NA	NA
"1072534"	14	1453	0	25	12	2	4	6	1	0	17	0	1	11	21	50	1	361	109	57	158	33	93	79	28	79	29	69	22	8	1	3	0	0
"1072535"	5	1464	0	12	2	0	3	3	1	0	27	1	0	19	3	15	1	285	284	244	74	26	76	38	123	36	121	72	30	NA	NA	NA	NA	NA
"1072536"	8	1240	2	6	5	0	3	2	0	0	40	0	0	22	2	16	2	217	280	187	83	21	69	46	99	37	88	77	44	1	0	1	0	0
"1072537"	15	1213	1	14	12	0	4	5	0	0	7	0	1	10	11	34	0	265	306	238	130	25	112	69	113	61	125	96	28	0	0	1	0	0
"1072538"	14	1330	1	2	0	0	6	2	0	0	81	0	1	30	2	17	1	356	370	230	150	28	75	86	99	64	131	74	40	3	0	0	0	0
"1072539"	17	1482	1	5	3	0	9	1	3	0	55	1	0	26	7	18	2	326	468	337	220	17	107	104	166	116	171	87	30	0	0	4	0	0
"1072540"	22	1356	1	62	0	0	1	0	5	0	4	0	0	1	1	50	1	621	499	93	53	31	93	27	38	26	55	66	41	4	1	23	2	1
"1072541"	11	1305	0	29	0	0	8	0	0	0	0	0	0	1	0	71	1	546	245	67	34	28	111	20	40	14	27	94	33	7	1	7	1	0
"1072542"	33	1265	0	88	2	0	2	0	6	0	2	0	0	2	3	47	0	518	498	116	70	28	138	33	56	37	60	85	44	11	0	26	1	0
